date,airline,deptime,arrtime,price
2023-08-09,제주항공,06:20,07:20,"98,700"
2023-08-09,대한항공,07:00,08:05,"81,700"
2023-08-09,대한항공,07:00,08:05,"110,700"
2023-08-09,대한항공,07:00,08:05,"170,700"
2023-08-09,에어부산,07:20,08:25,"80,640"
2023-08-09,아시아나항공,07:20,08:25,"98,700"
2023-08-09,에어부산,07:20,08:25,"98,700"
2023-08-09,대한항공,08:05,09:10,"91,700"
2023-08-09,대한항공,08:05,09:10,"110,700"
2023-08-09,티웨이항공,08:30,09:30,"86,000"
2023-08-09,티웨이항공,08:30,09:30,"98,700"
2023-08-09,에어부산,08:40,09:40,"90,960"
2023-08-09,아시아나항공,08:40,09:40,"98,700"
2023-08-09,에어부산,08:40,09:40,"98,700"
2023-08-09,대한항공,09:00,10:05,"91,700"
2023-08-09,대한항공,09:00,10:05,"110,700"
2023-08-09,에어부산,09:40,10:40,"90,960"
2023-08-09,아시아나항공,09:40,10:40,"98,700"
2023-08-09,에어부산,09:40,10:40,"98,700"
2023-08-09,대한항공,10:25,11:30,"91,700"
2023-08-09,대한항공,10:25,11:30,"110,700"
2023-08-09,대한항공,10:25,11:30,"170,700"
2023-08-09,에어부산,11:00,12:00,"90,960"
2023-08-09,아시아나항공,11:00,12:00,"98,700"
2023-08-09,에어부산,11:00,12:00,"98,700"
2023-08-09,티웨이항공,11:40,12:40,"86,000"
2023-08-09,티웨이항공,11:40,12:40,"98,700"
2023-08-09,에어부산,12:00,13:05,"90,960"
2023-08-09,아시아나항공,12:00,13:05,"98,700"
2023-08-09,에어부산,12:00,13:05,"98,700"
2023-08-09,대한항공,12:20,13:25,"91,700"
2023-08-09,대한항공,12:20,13:25,"110,700"
2023-08-09,에어부산,12:50,13:50,"90,960"
2023-08-09,아시아나항공,12:50,13:50,"98,700"
2023-08-09,에어부산,12:50,13:50,"98,700"
2023-08-09,대한항공,14:00,15:05,"91,700"
2023-08-09,대한항공,14:00,15:05,"110,700"
2023-08-09,대한항공,14:00,15:05,"170,700"
2023-08-09,에어부산,14:20,15:25,"90,960"
2023-08-09,아시아나항공,14:20,15:25,"98,700"
2023-08-09,에어부산,14:20,15:25,"98,700"
2023-08-09,티웨이항공,14:50,15:50,"86,000"
2023-08-09,티웨이항공,14:50,15:50,"98,700"
2023-08-09,에어부산,15:40,16:40,"90,960"
2023-08-09,아시아나항공,15:40,16:40,"98,700"
