date,id,deptime,arrtime,price,direction
2023-08-24,1,07:00,08:05,50700,go
2023-08-24,1,07:00,08:05,58700,go
2023-08-24,1,07:00,08:05,88700,go
2023-08-24,2,07:20,08:25,46360,go
2023-08-24,2,07:20,08:25,78700,go
2023-08-24,5,07:20,08:25,80700,go
2023-08-24,1,08:05,09:10,73700,go
2023-08-24,1,08:05,09:10,88700,go
2023-08-24,3,08:30,09:30,77100,go
2023-08-24,1,09:00,10:05,73700,go
2023-08-24,1,09:00,10:05,88700,go
2023-08-24,2,09:40,10:40,71440,go
2023-08-24,2,09:40,10:40,78700,go
2023-08-24,5,09:40,10:40,80700,go
2023-08-24,1,10:25,11:30,73700,go
2023-08-24,1,10:25,11:30,88700,go
2023-08-24,2,11:00,12:00,72760,go
2023-08-24,2,11:00,12:00,78700,go
2023-08-24,5,11:00,12:00,80700,go
2023-08-24,3,11:40,12:40,77100,go
2023-08-24,2,12:00,13:00,71440,go
2023-08-24,2,12:00,13:00,78700,go
2023-08-24,5,12:00,13:00,80700,go
2023-08-24,1,12:25,13:30,81700,go
2023-08-24,1,12:25,13:30,88700,go
2023-08-24,2,12:50,13:50,71440,go
2023-08-24,2,12:50,13:50,78700,go
2023-08-24,5,12:50,13:50,80700,go
2023-08-24,1,14:00,15:05,73700,go
2023-08-24,1,14:00,15:05,88700,go
2023-08-24,2,14:20,15:25,71440,go
2023-08-24,2,14:20,15:25,78700,go
2023-08-24,5,14:20,15:25,80700,go
2023-08-24,3,14:50,15:50,77100,go
2023-08-24,2,15:40,16:40,72760,go
2023-08-24,2,15:40,16:40,78700,go
2023-08-24,5,15:40,16:40,80700,go
2023-08-24,1,16:00,17:05,73700,go
2023-08-24,1,16:00,17:05,88700,go
2023-08-24,2,16:40,17:40,71440,go
2023-08-24,2,16:40,17:40,78700,go
2023-08-24,5,16:40,17:40,80700,go
2023-08-24,1,17:20,18:25,73700,go
2023-08-24,1,17:20,18:25,88700,go
2023-08-24,3,18:20,19:20,77100,go
2023-08-24,2,19:00,20:00,52960,go
2023-08-24,2,19:00,20:00,78700,go
2023-08-24,5,19:00,20:00,80700,go
2023-08-24,1,19:25,20:35,62700,go
2023-08-24,1,19:25,20:35,88700,go
2023-08-24,4,19:40,20:40,50700,go
2023-08-24,4,19:40,20:40,78700,go
2023-08-24,0,19:45,20:45,52600,go
2023-08-24,0,19:45,20:45,78700,go
2023-08-24,4,20:05,21:05,49700,go
2023-08-24,4,20:05,21:05,78700,go
2023-08-24,2,20:20,21:35,52960,go
2023-08-24,2,20:20,21:35,78700,go
2023-08-24,5,20:20,21:35,80700,go
2023-08-25,0,06:20,07:20,37100,go
2023-08-25,0,06:20,07:20,98700,go
2023-08-25,1,07:00,08:05,52700,go
2023-08-25,1,07:00,08:05,65700,go
2023-08-25,1,07:00,08:05,100700,go
2023-08-25,2,07:20,08:25,43900,go
2023-08-25,5,07:20,08:25,90700,go
2023-08-25,2,07:20,08:25,90700,go
2023-08-25,1,08:05,09:10,83700,go
2023-08-25,1,08:05,09:10,100700,go
2023-08-25,3,08:30,09:30,95700,go
2023-08-25,3,08:30,09:30,98100,go
2023-08-25,2,08:40,09:40,82120,go
2023-08-25,5,08:40,09:40,90700,go
2023-08-25,2,08:40,09:40,90700,go
2023-08-25,1,09:00,10:05,83700,go
2023-08-25,1,09:00,10:05,100700,go
2023-08-25,1,10:25,11:30,83700,go
2023-08-25,1,10:25,11:30,100700,go
2023-08-25,2,11:00,12:00,89920,go
2023-08-25,5,11:00,12:00,90700,go
2023-08-25,2,11:00,12:00,90700,go
2023-08-25,3,11:40,12:40,95700,go
2023-08-25,3,11:40,12:40,98100,go
2023-08-25,2,12:00,13:05,89920,go
2023-08-25,5,12:00,13:05,90700,go
2023-08-25,2,12:00,13:05,90700,go
2023-08-25,1,12:25,13:30,83700,go
2023-08-25,1,12:25,13:30,100700,go
2023-08-25,2,12:50,13:50,89920,go
2023-08-25,5,12:50,13:50,90700,go
2023-08-25,2,12:50,13:50,90700,go
2023-08-25,1,14:00,15:05,92700,go
2023-08-25,1,14:00,15:05,100700,go
2023-08-25,5,14:20,15:25,90700,go
2023-08-25,2,14:20,15:25,97840,go
2023-08-25,2,14:20,15:25,98700,go
2023-08-25,3,14:50,15:50,95700,go
2023-08-25,3,14:50,15:50,98100,go
2023-08-25,5,15:40,16:40,90700,go
2023-08-25,2,15:40,16:40,97840,go
2023-08-25,2,15:40,16:40,98700,go
2023-08-25,1,16:00,17:05,100700,go
2023-08-25,1,17:20,18:25,100700,go
2023-08-25,3,18:20,19:20,95700,go
2023-08-25,3,18:20,19:20,98100,go
2023-08-25,5,19:00,20:00,90700,go
2023-08-25,2,19:00,20:00,97840,go
2023-08-25,2,19:00,20:00,98700,go
2023-08-25,1,19:25,20:35,100700,go
2023-08-25,4,19:40,20:40,100700,go
2023-08-25,0,19:45,20:45,75600,go
2023-08-25,0,19:45,20:45,98700,go
2023-08-25,4,20:05,21:05,100700,go
2023-08-25,5,20:20,21:35,90700,go
2023-08-25,2,20:20,21:35,97840,go
2023-08-25,2,20:20,21:35,98700,go
