name,star,img,link
브라운도트 비지니스호텔 서면롯데점,8.8,https://search.pstatic.net/common/?src=https://media.datahc.com/HI551117313.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABrown_Dot_Business_Seomyeon&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
동래 덴바스타호텔,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI786432772.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ADongrae_Denbasta_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
하운드 호텔 프리미어 남포,8.8,https://search.pstatic.net/common/?src=https://media.datahc.com/HI514999735.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHound_Hotel_Premier_Nampo&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
오션투헤븐 호텔,8.9,https://search.pstatic.net/common/?src=https://media.datahc.com/HI748644931.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ANampo_Ocean_2_Heaven&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
그리핀베이 호텔,8.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI748644892.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AGriffinbay&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
AG405 호텔,8.8,https://search.pstatic.net/common/?src=https://media.datahc.com/HI700698369.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AAG405_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
에어텔 부산,3.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI788321742.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AAirtel_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
경성여관,9.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI757794196.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHotel_Kyungsung&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
브라운 도트 부산역 스카이 가든,8.5,https://search.pstatic.net/common/?src=https://media.datahc.com/HI500283674.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABrown_Dot_Busan_Station_Sky_Garden&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
베스트루이스해밀턴호텔 광안점,7.5,https://search.pstatic.net/common/?src=https://media.datahc.com/HI794100456.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABest_Louis_Hamilton_Hotel_Gwangan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
센텀빅토리아호텔,7.5,https://search.pstatic.net/common/?src=https://media.datahc.com/HI787849888.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHotel_Centum_Victoria_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
호텔 런더너 광안점,7.5,https://search.pstatic.net/common/?src=https://media.datahc.com/HI774590745.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ALondoner_Hotel_Gwangan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
마리안느 호텔,7.1,https://search.pstatic.net/common/?src=https://media.datahc.com/HI556321028.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AMarianne_Hotel_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
송정올라호텔,7.7,https://search.pstatic.net/common/?src=https://media.datahc.com/HI520294608.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ACarib_Hotel_Songjeong&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
엘시티 레지던스,9.1,https://search.pstatic.net/common/?src=https://media.datahc.com/HI801047970.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ALCT_Residence&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
아르반 호텔,9.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI588206361.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AArban_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
부산 아벤트리 호텔,8.7,https://search.pstatic.net/common/?src=https://media.datahc.com/HI232247697.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AAventree_Hotel_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
부산 관광호텔,7.4,https://search.pstatic.net/common/?src=https://media.datahc.com/HI521014964.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_Tourist_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
에어포트 호텔,7.7,https://search.pstatic.net/common/?src=https://media.datahc.com/HI358247686.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHotel_Airport_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
하운드 호텔 서면,7.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI595006544.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHound_Hotel_Seomyeon&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
부산 비치 관광호텔,7.9,https://search.pstatic.net/common/?src=https://media.datahc.com/HI368783014.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_Beach_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
에이치에비뉴 호텔 광안리,7.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI592529584.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AH_Avenue_Hotel_Gwangalli&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
브라운도트 송도해수욕장점,6.9,https://search.pstatic.net/common/?src=https://media.datahc.com/HI532825928.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABrown_Dot_Songdo_Beach&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
엠에스 호텔,8.1,https://search.pstatic.net/common/?src=https://media.datahc.com/HI710736930.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AMS_Hotel_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
아몬드 호텔,8.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI229002975.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHotel_Almond_Busan_Station&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
더뮤즈호텔,9.3,https://search.pstatic.net/common/?src=https://media.datahc.com/HI736215137.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AThe_Muse_Hotel_Residence&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
하운드 호텔 남포,8.5,https://search.pstatic.net/common/?src=https://media.datahc.com/HI704982121.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHotel_the_Hound&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
브라운도트 부산진역점,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI795588383.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusanjin_Brown_Dot_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
에어스카이 호텔 부산,8.8,https://search.pstatic.net/common/?src=https://media.datahc.com/HI770262162.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AAir_Sky_Hotel_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
초원 호텔,7.7,https://search.pstatic.net/common/?src=https://media.datahc.com/HI533248662.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHotel_Chowon&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
