date,name,saled_price,capacity,type
2023-08-11,카니발 KA4,196200,9,디젤
2023-08-11,EV6 4WD,198000,4,전기차
2023-08-11,K8 2.5,207000,4,가솔린
2023-08-11,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-11,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-11,All New G80 2.5,289800,4,가솔린
2023-08-11,GV80 4WD,327000,5,디젤
2023-08-11,G90 3.8,348000,4,가솔린
2023-08-11,ALL NEW K3,72600,4,가솔린
2023-08-11,아반떼 AD ,79800,4,가솔린
2023-08-11,니로,98100,4,전기차
2023-08-11,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-11,쏘렌토 MQ4,178200,5,하이브리드
2023-08-11,팰리세이드 2WD,224400,7,디젤
2023-08-12,캐스퍼,85800,4,가솔린
2023-08-12,더 뉴 K3,86450,4,가솔린
2023-08-12,올 뉴 아반떼,86450,4,가솔린
2023-08-12,INTERACTIVE K5,133900,4,가솔린
2023-08-12,볼트,72100,4,전기차
2023-08-12,쏘나타 DN8,133900,4,가솔린
2023-08-12,INTERACTIVE K5,137800,4,하이브리드
2023-08-12,THE ALL NEW NIRO,141700,4,하이브리드
2023-08-12,EV6 2WD,157300,4,전기차
2023-08-12,스포티지 NQ5 2WD,171600,4,하이브리드
2023-08-12,스포티지 NQ5 2WD 1.6T,171600,4,가솔린
2023-08-12,더 뉴 그랜드 스타렉스,188500,9,디젤
2023-08-12,더 뉴 싼타페 2WD,193050,5,디젤
2023-08-12,스타리아,197600,1,디젤
2023-08-12,더 뉴 카니발,212550,9,디젤
2023-08-12,카니발 KA4,212550,9,디젤
2023-08-12,EV6 4WD,214500,4,전기차
2023-08-12,K8 2.5,224250,4,가솔린
2023-08-12,더 뉴 그랜저 2.4,235950,4,하이브리드
2023-08-12,팰리세이드 2WD,243100,7,디젤
2023-08-12,더 뉴 그랜저 3.3,243750,4,가솔린
2023-08-12,All New G80 2.5,313950,4,가솔린
2023-08-12,GV80 4WD,354250,5,디젤
2023-08-12,G90 3.8,377000,4,가솔린
2023-08-12,ALL NEW K3,78650,4,가솔린
2023-08-12,아반떼 AD ,86450,4,가솔린
2023-08-12,니로,98100,4,전기차
2023-08-12,더 뉴 그랜드 스타렉스,172900,1,디젤
2023-08-12,쏘렌토 MQ4,193050,5,하이브리드
2023-08-13,캐스퍼,85800,4,가솔린
2023-08-13,더 뉴 K3,86450,4,가솔린
2023-08-13,올 뉴 아반떼,86450,4,가솔린
2023-08-13,INTERACTIVE K5,133900,4,가솔린
2023-08-13,볼트,72100,4,전기차
2023-08-13,쏘나타 DN8,133900,4,가솔린
2023-08-13,INTERACTIVE K5,137800,4,하이브리드
2023-08-13,THE ALL NEW NIRO,141700,4,하이브리드
2023-08-13,EV6 2WD,157300,4,전기차
2023-08-13,스포티지 NQ5 2WD,171600,4,하이브리드
2023-08-13,스포티지 NQ5 2WD 1.6T,171600,4,가솔린
2023-08-13,더 뉴 그랜드 스타렉스,188500,9,디젤
2023-08-13,더 뉴 싼타페 2WD,193050,5,디젤
2023-08-13,스타리아,197600,1,디젤
2023-08-13,더 뉴 카니발,212550,9,디젤
2023-08-13,카니발 KA4,212550,9,디젤
2023-08-13,EV6 4WD,214500,4,전기차
2023-08-13,K8 2.5,224250,4,가솔린
2023-08-13,더 뉴 그랜저 2.4,235950,4,하이브리드
2023-08-13,팰리세이드 2WD,243100,7,디젤
2023-08-13,더 뉴 그랜저 3.3,243750,4,가솔린
2023-08-13,All New G80 2.5,313950,4,가솔린
2023-08-13,GV80 4WD,354250,5,디젤
2023-08-13,G90 3.8,377000,4,가솔린
2023-08-13,ALL NEW K3,78650,4,가솔린
2023-08-13,아반떼 AD ,86450,4,가솔린
2023-08-13,니로,98100,4,전기차
2023-08-13,더 뉴 그랜드 스타렉스,172900,1,디젤
2023-08-13,쏘렌토 MQ4,193050,5,하이브리드
2023-08-14,캐스퍼,79200,4,가솔린
2023-08-14,더 뉴 K3,79800,4,가솔린
2023-08-14,올 뉴 아반떼,79800,4,가솔린
2023-08-14,INTERACTIVE K5,123600,4,가솔린
2023-08-14,볼트,72100,4,전기차
2023-08-14,쏘나타 DN8,123600,4,가솔린
